package_id,name,display_name,description,price,base_fee
352,Chemistry,Fermentrics,Fermentrics,140,0
353,Chemistry,Forage part size,Forage part size,28,0
354,Chemistry,Swine Basic,Swine Basic,57,0
355,Chemistry,Swine Select,Swine Select,75,0
356,Chemistry,Germination,Germination,44,0
357,Chemistry,Grain Particle Size,Grain Particle Size,28,0
358,Chemistry,Fe,Fe,16,1
359,Chemistry,IVSD7,IVSD7,51,0
360,Chemistry,Equine TDN DE(incl.M2 Mineral),Equine TDN DE(incl.M2 Mineral),#N/A,0
361,Chemistry,KOH solubility,KOH solubility,69,0
364,Chemistry,Lactose,Lactose,21,1
365,Chemistry,Lignin,Lignin,19,1
369,Chemistry,Mg,Mg,16,1
370,Chemistry,Mn,Mn,16,1
371,Chemistry,M9 - Ca/P/Na,M9 - Ca/P/Na,12,1
372,Chemistry,Mineral Mixer Test,Mineral Mixer Test,190,0
373,Chemistry,Mixer Test,Mixer Test,0,0
374,Chemistry,Moisture,Moisture,17,0
375,Chemistry,Mojonnier Fat,Mojonnier Fat,42,1
376,Chemistry,Mo,Mo,20,1
377,Chemistry,ND-ICP,ND-ICP,10,1
385,Chemistry,NPN,NPN,36,1
