package_id,Result_field
635,"DM Yield/Acre"
636,"DM Yield/Acre"
637,"DM Yield/Acre"
638,"DM Yield/Acre"
639,"DM Yield/Acre"
640,"DM Yield/Acre"
641,"DM Yield/Acre"
642,"DM Yield/Acre"
643,"DM Yield/Acre"
644,"DM Yield/Acre"
645,"DM Yield/Acre"
646,"DM Yield/Acre"
647,"DM Yield/Acre"
650,"DM Yield/Acre"
7,"Dry Matter"
16,"Dry Matter"
18,"Dry Matter"
19,"Dry Matter"
20,"Dry Matter"
21,"Dry Matter"
23,"Dry Matter"
24,"Dry Matter"
33,"Dry Matter"
38,"Dry Matter"
40,"Dry Matter"
41,"Dry Matter"
46,"Dry Matter"
49,"Dry Matter"
59,"Dry Matter"
61,"Dry Matter"
65,"Dry Matter"
70,"Dry Matter"
74,"Dry Matter"
75,"Dry Matter"
102,"Dry Matter"
147,"Dry Matter"
149,"Dry Matter"
155,"Dry Matter"
156,"Dry Matter"
157,"Dry Matter"
158,"Dry Matter"
159,"Dry Matter"
163,"Dry Matter"
180,"Dry Matter"
181,"Dry Matter"
184,"Dry Matter"
187,"Dry Matter"
190,"Dry Matter"
191,"Dry Matter"
192,"Dry Matter"
193,"Dry Matter"
194,"Dry Matter"
195,"Dry Matter"
196,"Dry Matter"
197,"Dry Matter"
199,"Dry Matter"
200,"Dry Matter"
212,"Dry Matter"
214,"Dry Matter"
215,"Dry Matter"
216,"Dry Matter"
217,"Dry Matter"
226,"Dry Matter"
231,"Dry Matter"
232,"Dry Matter"
248,"Dry Matter"
258,"Dry Matter"
272,"Dry Matter"
274,"Dry Matter"
275,"Dry Matter"
276,"Dry Matter"
279,"Dry Matter"
280,"Dry Matter"
282,"Dry Matter"
288,"Dry Matter"
307,"Dry Matter"
308,"Dry Matter"
333,"Dry Matter"
334,"Dry Matter"
335,"Dry Matter"
336,"Dry Matter"
337,"Dry Matter"
338,"Dry Matter"
339,"Dry Matter"
340,"Dry Matter"
341,"Dry Matter"
342,"Dry Matter"
343,"Dry Matter"
344,"Dry Matter"
345,"Dry Matter"
346,"Dry Matter"
348,"Dry Matter"
350,"Dry Matter"
351,"Dry Matter"
352,"Dry Matter"
354,"Dry Matter"
355,"Dry Matter"
358,"Dry Matter"
359,"Dry Matter"
360,"Dry Matter"
361,"Dry Matter"
364,"Dry Matter"
365,"Dry Matter"
369,"Dry Matter"
370,"Dry Matter"
371,"Dry Matter"
373,"Dry Matter"
374,"Dry Matter"
375,"Dry Matter"
376,"Dry Matter"
377,"Dry Matter"
385,"Dry Matter"
386,"Dry Matter"
387,"Dry Matter"
388,"Dry Matter"
389,"Dry Matter"
390,"Dry Matter"
391,"Dry Matter"
392,"Dry Matter"
393,"Dry Matter"
394,"Dry Matter"
397,"Dry Matter"
398,"Dry Matter"
399,"Dry Matter"
400,"Dry Matter"
401,"Dry Matter"
402,"Dry Matter"
403,"Dry Matter"
404,"Dry Matter"
405,"Dry Matter"
408,"Dry Matter"
409,"Dry Matter"
411,"Dry Matter"
412,"Dry Matter"
413,"Dry Matter"
414,"Dry Matter"
416,"Dry Matter"
417,"Dry Matter"
418,"Dry Matter"
419,"Dry Matter"
421,"Dry Matter"
422,"Dry Matter"
423,"Dry Matter"
424,"Dry Matter"
425,"Dry Matter"
426,"Dry Matter"
427,"Dry Matter"
428,"Dry Matter"
429,"Dry Matter"
430,"Dry Matter"
431,"Dry Matter"
432,"Dry Matter"
433,"Dry Matter"
434,"Dry Matter"
435,"Dry Matter"
436,"Dry Matter"
437,"Dry Matter"
438,"Dry Matter"
439,"Dry Matter"
440,"Dry Matter"
441,"Dry Matter"
442,"Dry Matter"
443,"Dry Matter"
444,"Dry Matter"
445,"Dry Matter"
447,"Dry Matter"
448,"Dry Matter"
449,"Dry Matter"
451,"Dry Matter"
452,"Dry Matter"
453,"Dry Matter"
454,"Dry Matter"
455,"Dry Matter"
456,"Dry Matter"
458,"Dry Matter"
459,"Dry Matter"
460,"Dry Matter"
461,"Dry Matter"
462,"Dry Matter"
463,"Dry Matter"
464,"Dry Matter"
465,"Dry Matter"
466,"Dry Matter"
467,"Dry Matter"
468,"Dry Matter"
469,"Dry Matter"
470,"Dry Matter"
482,"Dry Matter"
547,"Dry Matter"
548,"Dry Matter"
549,"Dry Matter"
550,"Dry Matter"
551,"Dry Matter"
552,"Dry Matter"
553,"Dry Matter"
554,"Dry Matter"
556,"Dry Matter"
557,"Dry Matter"
558,"Dry Matter"
559,"Dry Matter"
560,"Dry Matter"
561,"Dry Matter"
562,"Dry Matter"
563,"Dry Matter"
564,"Dry Matter"
565,"Dry Matter"
566,"Dry Matter"
567,"Dry Matter"
568,"Dry Matter"
570,"Dry Matter"
572,"Dry Matter"
590,"Dry Matter"
591,"Dry Matter"
594,"Dry Matter"
604,"Dry Matter"
605,"Dry Matter"
616,"Dry Matter"
617,"Dry Matter"
618,"Dry Matter"
619,"Dry Matter"
620,"Dry Matter"
621,"Dry Matter"
622,"Dry Matter"
623,"Dry Matter"
624,"Dry Matter"
625,"Dry Matter"
626,"Dry Matter"
627,"Dry Matter"
629,"Dry Matter"
630,"Dry Matter"
631,"Dry Matter"
632,"Dry Matter"
633,"Dry Matter"
634,"Dry Matter"
635,"Dry Matter"
636,"Dry Matter"
637,"Dry Matter"
638,"Dry Matter"
639,"Dry Matter"
640,"Dry Matter"
641,"Dry Matter"
642,"Dry Matter"
643,"Dry Matter"
644,"Dry Matter"
645,"Dry Matter"
646,"Dry Matter"
647,"Dry Matter"
650,"Dry Matter"
65,"Fat (EE)"
70,"Fat (EE)"
157,"Fat (EE)"
184,"Fat (EE)"
214,"Fat (EE)"
307,"Fat (EE)"
345,"Fat (EE)"
346,"Fat (EE)"
351,"Fat (EE)"
352,"Fat (EE)"
354,"Fat (EE)"
355,"Fat (EE)"
360,"Fat (EE)"
390,"Fat (EE)"
391,"Fat (EE)"
392,"Fat (EE)"
401,"Fat (EE)"
413,"Fat (EE)"
414,"Fat (EE)"
418,"Fat (EE)"
421,"Fat (EE)"
424,"Fat (EE)"
428,"Fat (EE)"
434,"Fat (EE)"
444,"Fat (EE)"
447,"Fat (EE)"
448,"Fat (EE)"
449,"Fat (EE)"
451,"Fat (EE)"
452,"Fat (EE)"
453,"Fat (EE)"
454,"Fat (EE)"
458,"Fat (EE)"
605,"Fat (EE)"
650,"Fat (EE)"
157,Fe
158,Fe
216,Fe
358,Fe
462,Fe
599,Fe
600,Fe
601,Fe
602,Fe
603,Fe
629,Fe
633,Fe
550,"Fumonisin B1"
551,"Fumonisin B1"
556,"Fumonisin B1"
559,"Fumonisin B1"
560,"Fumonisin B1"
561,"Fumonisin B1"
616,"Fumonisin B1"
617,"Fumonisin B1"
618,"Fumonisin B1"
631,"Fumonisin B1"
637,"Fumonisin B1"
643,"Fumonisin B1"
644,"Fumonisin B1"
645,"Fumonisin B1"
646,"Fumonisin B1"
550,"Fumonisin B2"
551,"Fumonisin B2"
556,"Fumonisin B2"
559,"Fumonisin B2"
